case,channel,delta_t_degC,source,drift_nm,drift_linewidths_q5200,within_itio_range,coarse_trim_needed,residual_window_nm_q5200_snr25,lock_accuracy_fraction_of_drift
mild edge,1,8.204026179982035,default_edge_hotspot,0.5913051869222052,1.9837335303196564,True,False,0.16527675440256745,0.2795117615369608
mild edge,2,9.238971258497683,default_edge_hotspot,0.6658988534562205,2.2339832503047394,True,False,0.16527675440256745,0.24820098960184436
mild edge,3,10.655164540002295,default_edge_hotspot,0.7679709842206653,2.576418785772555,True,False,0.16527675440256745,0.2152122382205492
mild edge,4,11.791475109710975,default_edge_hotspot,0.8498705685324185,2.8511786815281135,True,False,0.16527675440256745,0.19447285330514766
mild edge,5,11.905760823996689,default_edge_hotspot,0.8581077113895613,2.8788129672423994,True,False,0.16527675440256745,0.19260607055369483
mild edge,6,10.998021682859436,default_edge_hotspot,0.7926824127920938,2.659321642915412,True,False,0.16527675440256745,0.20850311768670024
mild edge,7,9.810399829926256,default_edge_hotspot,0.707084567741935,2.3721546788761687,True,False,0.16527675440256745,0.23374397058385327
mild edge,8,9.004026179982036,default_edge_hotspot,0.6489651869222053,2.1771735303196564,True,False,0.16527675440256745,0.25467738136526574
nominal edge,1,16.308052359964073,default_edge_hotspot,1.1754028738444104,3.9432870606393124,True,False,0.16527675440256745,0.140612855456099
nominal edge,2,18.406513945566797,default_edge_hotspot,1.326649492626727,4.450695072038052,True,False,0.16527675440256745,0.12458208088959831
nominal edge,3,21.267471937147445,default_edge_hotspot,1.532853039869902,5.142474714402252,False,True,0.16527675440256745,0.10782296156492276
nominal edge,4,23.568664505136233,default_edge_hotspot,1.698711494207694,5.698903077341941,False,True,0.16527675440256745,0.09729536473152267
nominal edge,5,23.825807362279093,default_edge_hotspot,1.7172450656362657,5.7610802201990845,False,True,0.16527675440256745,0.09624529294619337
nominal edge,6,22.038900508576017,default_edge_hotspot,1.5884537541556165,5.3290061429736815,False,True,0.16527675440256745,0.10404882985745126
nominal edge,7,19.69222823128108,default_edge_hotspot,1.419317349769584,4.761580786323766,True,False,0.16527675440256745,0.11644806175968958
nominal edge,8,18.10805235996407,default_edge_hotspot,1.3051378738444104,4.378527060639312,True,False,0.16527675440256745,0.12663547485272855
severe edge,1,28.514091629937127,default_edge_hotspot,2.0551531542277184,6.894707356118797,False,True,0.16527675440256745,0.08042065091965121
severe edge,2,32.19354226188475,default_edge_hotspot,2.3203495585253435,7.784398518923733,False,True,0.16527675440256745,0.07122924810846437
severe edge,3,37.207361604293745,default_edge_hotspot,2.6817205876294716,8.996740035918227,False,True,0.16527675440256745,0.061630863097734266
severe edge,4,41.24159145541698,default_edge_hotspot,2.972487704149179,9.972216813919827,False,True,0.16527675440256745,0.05560216588006878
severe edge,5,41.698734312559836,default_edge_hotspot,3.00543627557775,10.082753956776967,False,True,0.16527675440256745,0.0549925998250605
severe edge,6,38.57879017572231,default_edge_hotspot,2.7805663019151856,9.328351464489655,False,True,0.16527675440256745,0.05943996166850216
severe edge,7,34.47925654759904,default_edge_hotspot,2.485092415668201,8.337084233209449,False,True,0.16527675440256745,0.06650728695662098
severe edge,8,31.71409162993713,default_edge_hotspot,2.2857931542277186,7.668467356118798,False,True,0.16527675440256745,0.07230608513149044
